pizza_key,pizza_id,pizza_type_id,pizza_name,pizza_short_name,category,size_code,size_name,size_rank,unit_price,ingredients
18,thai_ckn_l,thai_ckn,The Thai Chicken Pizza,Thai Chicken,Chicken,L,Large,3,20.75,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
19,big_meat_s,big_meat,The Big Meat Pizza,Big Meat,Classic,S,Small,1,12.0,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
20,big_meat_m,big_meat,The Big Meat Pizza,Big Meat,Classic,M,Medium,2,16.0,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
21,big_meat_l,big_meat,The Big Meat Pizza,Big Meat,Classic,L,Large,3,20.5,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
22,classic_dlx_s,classic_dlx,The Classic Deluxe Pizza,Classic Deluxe,Classic,S,Small,1,12.0,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
23,classic_dlx_m,classic_dlx,The Classic Deluxe Pizza,Classic Deluxe,Classic,M,Medium,2,16.0,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
24,classic_dlx_l,classic_dlx,The Classic Deluxe Pizza,Classic Deluxe,Classic,L,Large,3,20.5,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
25,hawaiian_s,hawaiian,The Hawaiian Pizza,Hawaiian,Classic,S,Small,1,10.5,"Sliced Ham, Pineapple, Mozzarella Cheese"
26,hawaiian_m,hawaiian,The Hawaiian Pizza,Hawaiian,Classic,M,Medium,2,13.25,"Sliced Ham, Pineapple, Mozzarella Cheese"
27,hawaiian_l,hawaiian,The Hawaiian Pizza,Hawaiian,Classic,L,Large,3,16.5,"Sliced Ham, Pineapple, Mozzarella Cheese"
28,ital_cpcllo_s,ital_cpcllo,The Italian Capocollo Pizza,Italian Capocollo,Classic,S,Small,1,12.0,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
29,ital_cpcllo_m,ital_cpcllo,The Italian Capocollo Pizza,Italian Capocollo,Classic,M,Medium,2,16.0,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
30,ital_cpcllo_l,ital_cpcllo,The Italian Capocollo Pizza,Italian Capocollo,Classic,L,Large,3,20.5,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
31,napolitana_s,napolitana,The Napolitana Pizza,Napolitana,Classic,S,Small,1,12.0,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
32,napolitana_m,napolitana,The Napolitana Pizza,Napolitana,Classic,M,Medium,2,16.0,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
33,napolitana_l,napolitana,The Napolitana Pizza,Napolitana,Classic,L,Large,3,20.5,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
34,pep_msh_pep_s,pep_msh_pep,"The Pepperoni, Mushroom, and Peppers Pizza","Pepperoni, Mushroom, and Peppers",Classic,S,Small,1,11.0,"Pepperoni, Mushrooms, Green Peppers"
35,pep_msh_pep_m,pep_msh_pep,"The Pepperoni, Mushroom, and Peppers Pizza","Pepperoni, Mushroom, and Peppers",Classic,M,Medium,2,14.5,"Pepperoni, Mushrooms, Green Peppers"
36,pep_msh_pep_l,pep_msh_pep,"The Pepperoni, Mushroom, and Peppers Pizza","Pepperoni, Mushroom, and Peppers",Classic,L,Large,3,17.5,"Pepperoni, Mushrooms, Green Peppers"
37,pepperoni_s,pepperoni,The Pepperoni Pizza,Pepperoni,Classic,S,Small,1,9.75,"Mozzarella Cheese, Pepperoni"
38,pepperoni_m,pepperoni,The Pepperoni Pizza,Pepperoni,Classic,M,Medium,2,12.5,"Mozzarella Cheese, Pepperoni"
39,pepperoni_l,pepperoni,The Pepperoni Pizza,Pepperoni,Classic,L,Large,3,15.25,"Mozzarella Cheese, Pepperoni"
40,the_greek_s,the_greek,The Greek Pizza,Greek,Classic,S,Small,1,12.0,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
41,the_greek_m,the_greek,The Greek Pizza,Greek,Classic,M,Medium,2,16.0,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
42,the_greek_l,the_greek,The Greek Pizza,Greek,Classic,L,Large,3,20.5,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
43,the_greek_xl,the_greek,The Greek Pizza,Greek,Classic,XL,X-Large,4,25.5,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
44,the_greek_xxl,the_greek,The Greek Pizza,Greek,Classic,XXL,XX-Large,5,35.95,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
45,brie_carre_s,brie_carre,The Brie Carre Pizza,Brie Carre,Supreme,S,Small,1,23.65,"Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic"
46,calabrese_s,calabrese,The Calabrese Pizza,Calabrese,Supreme,S,Small,1,12.25,"‘Nduja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
47,calabrese_m,calabrese,The Calabrese Pizza,Calabrese,Supreme,M,Medium,2,16.25,"‘Nduja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
48,calabrese_l,calabrese,The Calabrese Pizza,Calabrese,Supreme,L,Large,3,20.25,"‘Nduja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
49,ital_supr_s,ital_supr,The Italian Supreme Pizza,Italian Supreme,Supreme,S,Small,1,12.5,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
50,ital_supr_m,ital_supr,The Italian Supreme Pizza,Italian Supreme,Supreme,M,Medium,2,16.5,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
51,ital_supr_l,ital_supr,The Italian Supreme Pizza,Italian Supreme,Supreme,L,Large,3,20.75,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
52,peppr_salami_s,peppr_salami,The Pepper Salami Pizza,Pepper Salami,Supreme,S,Small,1,12.5,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
53,peppr_salami_m,peppr_salami,The Pepper Salami Pizza,Pepper Salami,Supreme,M,Medium,2,16.5,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
54,peppr_salami_l,peppr_salami,The Pepper Salami Pizza,Pepper Salami,Supreme,L,Large,3,20.75,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
55,prsc_argla_s,prsc_argla,The Prosciutto and Arugula Pizza,Prosciutto and Arugula,Supreme,S,Small,1,12.5,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
56,prsc_argla_m,prsc_argla,The Prosciutto and Arugula Pizza,Prosciutto and Arugula,Supreme,M,Medium,2,16.5,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
57,prsc_argla_l,prsc_argla,The Prosciutto and Arugula Pizza,Prosciutto and Arugula,Supreme,L,Large,3,20.75,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
58,sicilian_s,sicilian,The Sicilian Pizza,Sicilian,Supreme,S,Small,1,12.25,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
59,sicilian_m,sicilian,The Sicilian Pizza,Sicilian,Supreme,M,Medium,2,16.25,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
60,sicilian_l,sicilian,The Sicilian Pizza,Sicilian,Supreme,L,Large,3,20.25,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
61,soppressata_s,soppressata,The Soppressata Pizza,Soppressata,Supreme,S,Small,1,12.5,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
62,soppressata_m,soppressata,The Soppressata Pizza,Soppressata,Supreme,M,Medium,2,16.5,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
63,soppressata_l,soppressata,The Soppressata Pizza,Soppressata,Supreme,L,Large,3,20.75,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
64,spicy_ital_s,spicy_ital,The Spicy Italian Pizza,Spicy Italian,Supreme,S,Small,1,12.5,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
65,spicy_ital_m,spicy_ital,The Spicy Italian Pizza,Spicy Italian,Supreme,M,Medium,2,16.5,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
66,spicy_ital_l,spicy_ital,The Spicy Italian Pizza,Spicy Italian,Supreme,L,Large,3,20.75,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
67,spinach_supr_s,spinach_supr,The Spinach Supreme Pizza,Spinach Supreme,Supreme,S,Small,1,12.5,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
68,spinach_supr_m,spinach_supr,The Spinach Supreme Pizza,Spinach Supreme,Supreme,M,Medium,2,16.5,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
69,spinach_supr_l,spinach_supr,The Spinach Supreme Pizza,Spinach Supreme,Supreme,L,Large,3,20.75,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
70,five_cheese_s,five_cheese,The Five Cheese Pizza,Five Cheese,Veggie,S,Small,1,12.5,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic"
71,five_cheese_m,five_cheese,The Five Cheese Pizza,Five Cheese,Veggie,M,Medium,2,15.5,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic"
72,five_cheese_l,five_cheese,The Five Cheese Pizza,Five Cheese,Veggie,L,Large,3,18.5,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic"
73,four_cheese_s,four_cheese,The Four Cheese Pizza,Four Cheese,Veggie,S,Small,1,11.75,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
74,four_cheese_m,four_cheese,The Four Cheese Pizza,Four Cheese,Veggie,M,Medium,2,14.75,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
75,four_cheese_l,four_cheese,The Four Cheese Pizza,Four Cheese,Veggie,L,Large,3,17.95,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
76,green_garden_s,green_garden,The Green Garden Pizza,Green Garden,Veggie,S,Small,1,12.0,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
77,green_garden_m,green_garden,The Green Garden Pizza,Green Garden,Veggie,M,Medium,2,16.0,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
78,green_garden_l,green_garden,The Green Garden Pizza,Green Garden,Veggie,L,Large,3,20.25,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
79,ital_veggie_s,ital_veggie,The Italian Vegetables Pizza,Italian Vegetables,Veggie,S,Small,1,12.75,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
80,ital_veggie_m,ital_veggie,The Italian Vegetables Pizza,Italian Vegetables,Veggie,M,Medium,2,16.75,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
81,ital_veggie_l,ital_veggie,The Italian Vegetables Pizza,Italian Vegetables,Veggie,L,Large,3,21.0,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
82,mediterraneo_s,mediterraneo,The Mediterranean Pizza,Mediterranean,Veggie,S,Small,1,12.0,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
83,mediterraneo_m,mediterraneo,The Mediterranean Pizza,Mediterranean,Veggie,M,Medium,2,16.0,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
84,mediterraneo_l,mediterraneo,The Mediterranean Pizza,Mediterranean,Veggie,L,Large,3,20.25,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
85,mexicana_s,mexicana,The Mexicana Pizza,Mexicana,Veggie,S,Small,1,12.0,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
86,mexicana_m,mexicana,The Mexicana Pizza,Mexicana,Veggie,M,Medium,2,16.0,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
87,mexicana_l,mexicana,The Mexicana Pizza,Mexicana,Veggie,L,Large,3,20.25,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
88,spin_pesto_s,spin_pesto,The Spinach Pesto Pizza,Spinach Pesto,Veggie,S,Small,1,12.5,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
89,spin_pesto_m,spin_pesto,The Spinach Pesto Pizza,Spinach Pesto,Veggie,M,Medium,2,16.5,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
90,spin_pesto_l,spin_pesto,The Spinach Pesto Pizza,Spinach Pesto,Veggie,L,Large,3,20.75,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
91,spinach_fet_s,spinach_fet,The Spinach and Feta Pizza,Spinach and Feta,Veggie,S,Small,1,12.0,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
92,spinach_fet_m,spinach_fet,The Spinach and Feta Pizza,Spinach and Feta,Veggie,M,Medium,2,16.0,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
93,spinach_fet_l,spinach_fet,The Spinach and Feta Pizza,Spinach and Feta,Veggie,L,Large,3,20.25,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
94,veggie_veg_s,veggie_veg,The Vegetables + Vegetables Pizza,Vegetables + Vegetables,Veggie,S,Small,1,12.0,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
95,veggie_veg_m,veggie_veg,The Vegetables + Vegetables Pizza,Vegetables + Vegetables,Veggie,M,Medium,2,16.0,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
96,veggie_veg_l,veggie_veg,The Vegetables + Vegetables Pizza,Vegetables + Vegetables,Veggie,L,Large,3,20.25,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
